,Gene Description,Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
374,KIAA0070 gene; partial cds,D31890_at,653,2753,1408,1786,2318,1669,964,1782,2330,1558,2400,1245,1236,2506,2225,1587,2326,1208,856,3789,1391,1114,1162,2339,1051,1571,1182,1464,1081,1820,2033,1033,948,1642,1021,1493,1298,1119
383,26S PROTEASOME REGULATORY SUBUNIT P31,D38047_at,2111,2956,4463,2651,2908,2429,2488,1629,4301,2103,2840,2062,1801,2220,2463,1744,1887,1803,1305,3404,797,1677,1844,2465,1538,1436,1555,1989,1475,2982,2877,1565,2160,1733,1334,2410,3704,2002
384,Proteasome subunit z,D38048_at,1053,1595,1606,1105,1523,901,900,578,2142,1483,1952,891,1351,1034,1309,1103,755,537,810,3055,2056,889,780,1115,642,760,744,673,856,907,1072,388,598,825,781,657,1285,639
385,RANBP1 RAN binding protein 1,D38076_at,1279,1498,2355,1275,1735,1324,1356,1136,2683,2054,1006,1345,1148,1331,1798,834,833,712,977,2180,639,653,930,1410,976,604,956,941,506,931,1670,718,801,206,541,1290,1786,815
402,KIAA0078 gene,D38551_at,516,958,1017,688,856,510,527,395,1488,873,1699,183,1334,861,665,518,1718,551,423,2163,559,406,702,927,269,375,267,559,423,445,383,660,610,423,262,592,655,288
411,KIAA0084 gene; partial cds,D42043_at,2170,2558,1286,1909,1718,686,1831,1057,1239,855,787,1554,2608,1075,1291,1969,1698,4297,2638,2985,4587,2785,885,2362,1411,2099,1242,1242,646,981,1276,1464,1873,932,692,1008,1150,1054
449,Fetus brain mRNA for vacuolar ATPase,D49400_at,1174,1120,1767,954,1730,1198,843,950,1481,1038,926,967,1000,1220,1620,839,1723,934,675,2207,884,1383,619,1113,1187,672,685,1537,1078,2367,1271,1684,1792,1093,723,1940,2205,1515
452,Protein disulfide isomerase-related protein P5,D49489_at,1020,1007,742,1205,2504,396,1114,721,1425,792,818,622,1949,561,2385,1615,1568,1281,1128,3663,2959,959,448,2254,932,891,801,742,813,2283,1393,330,551,1217,663,1557,777,1008
462,Proteasome subunit p40_/ Mov34 protein,D50063_at,1291,1213,1521,1014,1191,1091,1112,748,1921,781,1544,651,1231,1203,1386,929,1353,847,853,1792,1105,635,636,1095,522,746,1035,912,550,435,774,588,1242,887,757,721,772,682
463,CANX Calnexin,D50310_at,4031,6862,5528,4058,3835,3819,3147,3151,8151,3072,6096,3052,5117,3989,4212,2207,4480,2680,2337,7101,3705,5147,3792,4282,2613,3218,2215,6049,4098,7810,6927,5645,9122,5948,4135,6840,7800,6545
519,KIAA0144 gene,D63478_at,760,738,1480,954,942,643,452,1025,1225,510,1418,520,776,1045,940,859,691,619,846,1243,768,1038,634,1160,608,488,1125,1147,568,1120,340,991,1181,886,771,977,1036,1286
525,KIAA0151 gene,D63485_at,941,794,1308,727,546,743,1151,1359,1077,775,746,599,785,1090,395,847,585,736,629,841,650,717,623,715,608,811,951,1059,358,654,711,936,1335,1034,1154,1215,919,1188
531,HMG1 High-mobility group (nonhistone chromosomal) protein 1,D63874_at,4157,11557,12125,8484,9575,5315,6270,4566,10061,7194,7021,4036,12920,6555,11506,11089,13775,4845,8499,13830,16492,9604,5479,12848,5613,10573,4578,6978,4206,4642,3998,2793,2823,5817,5407,4490,3763,6604
538,KIAA0160 gene; partial cds,D63881_at,645,1000,961,629,1156,241,352,143,1136,357,1259,172,1231,904,735,264,1086,522,417,1633,1479,757,319,896,346,549,250,793,876,484,249,374,407,596,440,519,592,677
542,Histone H1x,D64142_at,5152,16420,7840,5802,4690,7461,5713,3230,11441,15331,2499,6116,5451,1950,7612,4009,5493,1689,3219,13311,4391,15272,7426,6179,10032,7253,5454,13765,6027,12386,7110,5820,11794,10726,2205,18826,13481,19451
555,55.11 binding protein,D78151_at,1554,1479,1827,1470,2038,1607,1614,1589,2408,1068,1258,1090,1856,1486,1653,1899,1864,1308,1207,2228,1273,1468,1590,1619,1222,1530,1455,1723,1611,2280,2152,1965,1492,1647,1163,2264,2199,2441
562,Ornithine decarboxylase antizyme; ORF 1 and ORF 2,D78361_at,9881,17544,13086,14466,13686,10375,12736,8118,14541,9909,5481,9020,12192,8270,15261,10835,16373,11519,9622,15842,6872,8747,5855,12299,10798,11200,2248,8870,9018,16498,15374,15081,8790,12607,9125,22286,15062,10941
567,Ribosomal protein L39,D79205_at,25071,23095,21525,21279,23776,11926,15712,13118,21772,21632,20849,19699,27485,21720,17418,22417,25027,22807,22763,21305,33548,21028,9459,25322,19921,28168,24997,21655,12864,23132,15086,16980,21470,25152,26279,22090,19284,16835
570,KIAA0164 gene,D79986_at,1232,2236,1912,1093,1710,867,947,1034,2262,1317,3271,753,2163,1345,1425,1461,1996,488,1586,4088,2817,2314,1143,2044,850,641,952,2242,1249,1365,1569,1106,1851,1701,1043,1608,1907,1747
575,KIAA0169 gene; partial cds,D79991_at,977,660,1360,786,738,730,858,884,1163,519,581,441,847,831,679,569,616,465,585,1073,632,787,672,960,539,654,837,666,322,658,860,660,1043,880,945,864,845,1076
634,TPRD,D84294_at,487,588,552,334,898,252,362,481,1041,254,880,1225,2138,570,826,469,2115,624,616,2216,2274,449,416,795,1187,504,261,283,271,183,469,775,223,480,524,244,293,156
745,CAG-isl 7 {trinucleotide repeat-containing sequence} [human; pancreas; mRNA Partial; 701 nt],D87735_at,6251,9740,6722,9620,11512,6271,6443,8965,9981,7923,8510,9858,8126,8726,10442,9351,7127,8475,8545,13644,13331,8317,7295,9803,10695,6992,7742,9391,12366,9203,12368,8615,11235,10096,7641,8076,10442,11720
750,RTP,D87953_at,952,1490,1277,1358,1403,796,1308,1142,1281,1106,923,2662,1354,957,1080,1001,2108,570,960,1308,879,2520,636,1304,1582,1149,780,1833,1101,2718,1412,920,3221,1643,1293,2883,1472,2198
773,C-myc binding protein,D89667_at,1271,3622,1739,2252,3015,1257,1083,1628,3123,1723,2294,1704,1834,1969,2602,2337,1993,1553,1883,6774,3180,1755,1472,901,2533,2510,979,2325,4013,3752,2397,2152,2004,2987,1962,2769,3565,2994
780,ATF4 CAMP-dependent transcription factor ATF-4 (CREB2),D90209_at,1095,5457,2736,1517,2939,2044,1639,1590,5409,3444,6134,1520,2058,1454,1838,1739,2190,1872,2184,7696,3054,2905,2205,2393,2153,3490,1239,2629,2337,3504,2585,1750,3083,3387,2101,4407,4597,2780
793,Ras-Like Protein Tc4,HG1112-HT1112_at,1495,1804,2927,2422,3339,1927,1560,1196,3430,1991,2636,1442,1789,2107,3859,2020,1979,1936,1778,3861,637,920,2262,2398,1367,1004,1741,1754,1205,1623,1808,1223,1415,1097,990,1746,1767,918
797,Nucleoside Diphosphate Kinase Nm23-H2s,HG1153-HT1153_at,1016,3283,2304,3518,5323,1932,1712,988,4224,3252,2556,3138,3790,2767,4679,3639,4352,2817,2296,12559,8189,1213,2327,4387,2531,2226,2142,3534,3144,4213,3789,2649,2285,3465,2144,2341,2809,2370
798,Colony-Stimulating Factor 1; Macrophage; Alt. Splice 3,HG1155-HT4822_at,2180,1563,2438,1837,1113,1445,1802,2446,1761,1256,1196,1036,1299,1361,1134,1528,2002,1569,1241,2133,1070,1472,1440,1395,1667,1595,2561,1790,892,1678,1933,2080,2791,2181,1724,2188,1911,2701
811,Ribosomal Protein S20,HG1800-HT1823_at,19655,20187,23344,18830,21111,19538,19851,15207,21542,16943,21123,19576,20687,20374,17932,18313,17420,18599,18796,22564,29755,21576,16783,20826,18764,18404,18001,20247,18341,21226,17451,14393,22680,22255,22944,19080,21926,21789
823,Protein Kinase Ht31; Camp-Dependent,HG2167-HT2237_at,456,683,531,451,419,227,258,977,469,293,439,617,375,426,353,262,366,277,300,1322,569,1809,7,591,506,624,189,1241,370,1430,141,745,756,562,430,602,701,760
878,Ribosomal Protein L30 Homolog,HG2873-HT3017_at,18100,23566,22382,23118,22720,18614,18842,22525,21840,20047,22786,22750,23136,22147,21947,21319,21486,20777,22334,19530,31569,24404,23216,23707,24663,20534,24656,22073,26321,22318,24218,22886,24219,23949,21088,20849,22603,21760
886,Ribosomal Protein L30,HG311-HT311_at,7559,12458,9550,8056,12110,5729,5452,4497,14635,7447,6251,8181,5237,9273,10051,8534,5963,10393,6126,22543,12697,9304,6873,8861,10993,7501,8450,10620,10430,10273,7238,6686,7610,8285,6667,6750,11471,8285
895,Metallopanstimulin 1,HG3214-HT3391_at,20707,20221,23830,20870,20273,25237,25070,17433,19280,22809,22984,22897,21275,21518,18258,21385,15782,20254,21606,15734,26210,26688,27307,24278,20606,20810,22897,19216,18121,19628,22101,21521,20872,21305,21463,22782,21281,23316
905,Ribosomal Protein S4; X-Linked,HG33-HT33_at,12801,15610,12642,13815,18906,8129,16562,12448,16869,14319,15791,20751,20684,15479,15934,13564,16902,13182,13508,16786,19284,12958,12805,15007,16465,14983,19145,17246,17142,15318,16410,14178,17788,18896,18412,14032,17149,14263
911,Ribosomal Protein L37,HG3364-HT3541_at,19899,22408,23054,22312,22697,19133,19288,13009,20947,21263,22476,23700,20523,22500,20416,23722,16652,23999,25492,18327,30075,23281,22031,23648,20841,23139,22650,21146,23424,19087,21469,20247,20561,23187,25320,21628,23198,23869
925,Tropomyosin Tm30nm; Cytoskeletal,HG3514-HT3708_at,4281,7832,5474,4225,5452,2950,2659,2635,8516,4536,5841,3509,5468,5232,4294,3221,10913,2338,3202,7814,2086,3771,1886,3467,3644,4558,2345,4044,4436,7580,7093,6403,5319,5637,3354,7061,5296,2487
927,Ras-Related Protein Rap1b,HG3521-HT3715_at,830,1302,2098,1039,1607,832,488,1439,2343,1056,1175,479,827,1278,1109,970,2394,482,686,2535,228,625,545,945,895,350,597,1360,1198,2152,684,1224,1768,847,343,1427,1412,627
929,Wilm'S Tumor-Related Protein,HG3549-HT3751_at,24223,21103,22425,21932,23271,18656,16142,17742,22447,24062,23786,26879,27162,21210,20978,22743,21766,21607,22198,22274,6578,25044,20805,21634,21851,24751,23303,20803,20488,22054,21572,18664,21921,21513,19688,20721,21692,20693
941,Ribosomal Protein L26,HG384-HT384_at,9070,10080,8602,10631,10013,7576,7952,3054,10075,7915,10758,8073,9504,10811,5935,10336,6060,10144,10014,12858,15248,9141,8705,11627,7298,9225,8950,10045,6015,10342,8469,10522,10228,11390,9551,7417,10724,11413
964,Retinoblastoma 1,HG4036-HT4306_at,2246,1844,2967,1715,856,2165,2095,758,1135,1204,989,781,967,2186,1061,974,959,1694,475,2426,888,1323,1333,1215,685,1544,3195,929,233,904,1211,2072,1877,3251,1348,1260,1203,1865
992,Transcriptional Coactivator Pc4,HG4297-HT4567_at,928,3045,1829,822,1681,1015,448,461,1551,1002,1647,600,890,1406,1717,735,1734,2624,661,3278,2361,517,750,1381,600,574,445,799,1654,1492,1037,665,637,606,257,1155,1194,892
995,Ribosomal Protein L5,HG4319-HT4589_at,13924,25285,15794,21231,22273,14846,13050,18936,21792,13129,21920,19431,15106,22760,21306,15203,26584,19346,18615,23965,26106,19140,19709,22320,17889,15369,24531,19945,21146,25008,21725,20287,16638,22409,14490,15286,20108,25056
1008,Ribosomal Protein L10,HG4542-HT4947_at,11003,12850,12401,10988,14453,7754,10234,9339,14765,9213,12541,11095,7957,12275,12432,10574,10255,11376,8963,16110,7424,11982,7838,13399,11475,9819,8186,12809,9036,13525,10484,11931,10756,12539,7538,11363,12787,12833
1023,Ribosomal Protein S12,HG613-HT613_at,11216,15296,12911,14866,17193,9618,10481,13639,14621,14909,15308,16309,17841,14996,15507,16152,14263,14316,15996,17978,20045,14275,14087,16466,16188,16364,17153,14349,15612,12776,11021,14373,13456,16367,14769,13529,14877,14306
1027,Epstein-Barr Virus Small Rna-Associated Protein,HG662-HT662_at,4767,5058,6013,6422,8842,3739,3952,3805,9011,6770,6400,4338,6551,5968,6190,6270,7589,4520,5904,15775,13058,5694,4512,6208,6211,5844,6444,8655,7814,9680,5187,6262,9223,9472,4371,5734,6891,6271
1031,Ribosomal Protein S13,HG821-HT821_at,14255,15210,16774,15804,17521,16597,18557,9859,16056,14826,17018,16362,12715,15810,13717,14963,14811,14980,14262,16053,20306,17695,17513,16138,15090,11923,17557,14889,17065,15794,15868,12537,16051,16024,12181,16265,15088,15674
1063,LCP1 Lymphocyte cytosolic protein 1 (L-plastin),J02923_at,1673,2550,3322,2310,2934,1479,1618,355,2927,1468,991,2075,1652,3515,2653,1589,1665,2448,956,1269,109,338,463,2647,1042,449,544,2181,1080,5874,3523,3733,2295,1418,791,5609,1907,542
1073,Profilin mRNA,J03191_at,5807,12826,11763,7133,6423,10009,5912,3775,13407,9922,7458,6351,10209,13606,7857,8133,13962,9903,5091,11909,1621,1881,8076,8613,4908,7766,4395,7471,4847,10546,9600,9113,3971,8409,5044,11929,7113,3555
1076,LTA4H Leukotriene A4 hydrolase,J03459_at,849,1096,1196,1192,1497,1194,720,959,2074,950,1078,834,922,1434,1216,1323,2021,1435,1233,3236,1255,585,870,821,940,800,1223,1381,725,1307,1540,1136,1636,1255,759,2017,1072,989
1077,ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),J03473_at,2018,650,573,2291,2796,405,1829,2497,1204,324,264,472,1591,999,2352,2576,1875,2150,1338,4443,1040,1191,579,2741,569,2088,1702,841,500,426,871,671,109,803,430,603,404,355
1081,ANT3 Adenine nucleotide translocator 3 (liver),J03592_at,9621,5137,9518,13522,14321,9271,10811,6755,17246,8487,11557,15181,8798,10988,13845,10014,10361,10262,9433,18927,8384,10391,8619,12286,9012,11109,8781,10531,9586,13353,11566,9318,8145,12014,8663,9163,12013,6021
1089,DbpB-like protein mRNA,J03827_at,6895,10249,9799,8140,7649,8850,6334,3970,11444,7301,10013,10993,5434,7739,6947,5748,5902,2880,3887,10744,9068,5832,6879,7294,5468,3196,5304,6333,6786,8866,9667,7632,6844,5700,5701,6637,12444,8774
1109,PGAM1 Phosphoglycerate mutase 1 (brain),J04173_at,2398,4000,4429,1501,3678,1922,1043,751,6084,3448,2926,1284,3369,2632,2766,1922,2725,5147,1604,4028,2013,1485,1025,2404,847,1651,862,1019,1266,7109,3018,1372,2387,2376,1966,6032,3193,500
1129,LGALS1 Ubiquinol-cytochrome c reductase core protein II,J04973_at,696,795,939,893,1201,215,215,391,1022,300,1015,344,764,866,1227,692,451,490,425,1824,1286,401,482,1180,701,499,284,428,753,1015,410,383,212,539,401,443,600,276
1131,90-kDa heat-shock protein gene; cDNA,J04988_at,4483,8334,7445,8127,10367,5005,5855,4826,10496,10431,8529,3699,10806,7995,8677,5577,11682,6625,5007,12931,5811,4407,5390,7804,8427,6653,6282,11111,5903,11156,9226,7521,7741,10377,6814,6816,5959,3950
1144,RPA2 Replication protein A2 (32kD),J05249_at,2004,1170,2572,1328,1578,978,1344,1536,2338,1681,1408,1110,1938,1745,1555,1576,2011,1582,1293,2808,1021,1109,689,2374,1577,1396,1583,1999,843,1618,932,841,2526,1599,1406,2014,1700,1715
1196,M4 protein mRNA,L03532_at,1684,2197,2683,1195,2127,1481,1409,1007,2906,1642,2994,993,2047,1585,1965,1685,1650,489,1160,2989,3574,1381,1943,2322,1041,1500,1031,1537,847,1500,1556,1508,1181,1221,800,1923,1260,1605
1221,RPL37A Ribosomal protein L37a,L06499_at,20764,17636,23324,21733,20332,32791,33797,24655,18208,26774,22297,30546,23104,18283,18949,23166,19482,24312,24377,9995,24322,28109,34139,21817,24538,20358,31261,18636,28159,17347,28210,21618,22037,21029,37884,26190,20909,24380
1222,RPL12 Ribosomal protein L12,L06505_at,9324,11126,7629,10999,13543,9241,12210,5880,12629,12481,9711,11213,10858,12182,11638,10669,8666,13789,11866,11470,18006,7803,8551,11733,11813,11113,8194,12919,15619,11564,12265,11196,12668,13322,11994,10254,13772,14507
1238,INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR,L07633_at,3586,4802,5153,3301,4524,3378,2629,2287,4423,4220,3408,2021,5470,3623,7313,3746,5103,1752,4003,8242,1544,1743,2669,4011,4293,4515,2326,2857,2695,3532,2626,3186,2787,1751,1928,2747,2436,1302
1248,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,L08246_at,543,2972,485,740,2453,375,961,404,783,1288,733,2095,1405,742,1718,623,1016,1198,1010,1969,1377,791,596,868,635,827,190,6718,1766,4915,2056,4136,4126,3127,853,6159,5503,2083
1252,VDAC2 Voltage-dependent anion channel 2,L08666_at,987,1564,1617,1488,1626,821,1549,1031,2160,1111,1909,1136,1076,1177,1199,825,1013,992,658,2061,1597,1084,1046,1639,1029,1177,594,1604,1010,2711,1517,780,2522,1693,1654,2492,1327,2249
1265,CANX Calnexin,L10284_at,1859,1631,2878,2792,3380,1566,2175,2115,5840,3033,3391,1258,3137,2494,2837,2615,6160,1922,3469,6803,5085,1552,1791,2623,2408,2228,2491,2574,2365,3978,3352,3366,2364,2741,2219,3815,2933,1652
1276,PRE-MRNA SPLICING FACTOR SRP20,L10838_at,2794,2393,4962,2308,3514,2937,2742,2548,4845,2207,2022,2096,1862,1823,3866,1953,2225,1283,1498,4164,570,2079,1972,2411,1871,911,1383,2914,1735,1548,2775,2168,2736,970,810,1903,1982,2107
1288,RPL18 Ribosomal protein L18,L11566_at,12112,15076,11838,14972,17050,11010,9281,15556,15645,13138,14742,14089,9225,14926,15441,15276,10397,14391,10687,14550,3739,15127,13242,14585,16806,15814,11281,14708,14117,10867,14646,13625,12517,11740,6963,10654,14267,16400
1293,ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1,L12168_at,3477,3509,3291,5036,3863,1735,3810,2045,3956,1333,1654,2118,2376,3849,4086,2711,4752,2528,1972,3900,1821,1951,1210,3094,2127,1891,2746,2007,2533,3791,5285,3828,2248,2788,1853,4202,1511,1652
1323,PRE-MRNA SPLICING FACTOR SRP75,L14076_at,1013,494,750,824,834,608,446,392,984,596,1302,379,1202,1014,875,715,1039,708,736,1402,965,1009,849,750,441,393,278,729,343,555,426,518,898,744,690,1036,1169,976
1356,EIF4C Eukaryotic translation initiation factor 4C (eIF-4C),L18960_at,1055,1528,1748,901,1874,565,1256,1203,1133,769,941,1135,1528,1325,1464,810,1337,515,589,2141,2082,775,571,1642,1257,1251,583,1234,695,1354,1160,1127,2014,1304,1457,1091,1188,1299
1369,RPL27 Ribosomal protein L27,L19527_at,15020,17275,15112,16768,17138,10903,12484,16858,16403,12314,16361,18167,17561,17067,16403,16854,16112,17500,14843,15262,24472,18848,12134,15864,18719,16465,18031,16443,17702,15200,16611,17159,16029,16229,13323,14983,16708,18340
